id,jobdescriptionenglish,jobdescriptiongreek
1,"This job category encompasses roles and activities related to crop and animal production, hunting and related service activities.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με crop and animal production, hunting and related service activities."
2,This job category encompasses roles and activities related to forestry and logging.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με forestry and logging.
3,This job category encompasses roles and activities related to fishing and aquaculture.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με fishing and aquaculture.
4,This job category encompasses roles and activities related to mining and quarrying.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με mining and quarrying.
5,"This job category encompasses roles and activities related to manufacture of food products, beverages and tobacco products.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of food products, beverages and tobacco products."
6,"This job category encompasses roles and activities related to manufacture of textiles, wearing apparel, leather and related products.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of textiles, wearing apparel, leather and related products."
7,"This job category encompasses roles and activities related to manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials."
8,This job category encompasses roles and activities related to manufacture of paper and paper products.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of paper and paper products.
9,This job category encompasses roles and activities related to printing and reproduction of recorded media.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με printing and reproduction of recorded media.
10,This job category encompasses roles and activities related to manufacture of coke and refined petroleum products.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of coke and refined petroleum products.
11,This job category encompasses roles and activities related to manufacture of chemicals and chemical products.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of chemicals and chemical products.
12,This job category encompasses roles and activities related to manufacture of basic pharmaceutical products and pharmaceutical preparations.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of basic pharmaceutical products and pharmaceutical preparations.
13,This job category encompasses roles and activities related to manufacture of rubber and plastic products.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of rubber and plastic products.
14,This job category encompasses roles and activities related to manufacture of other non-metallic mineral products.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of other non-metallic mineral products.
15,This job category encompasses roles and activities related to manufacture of basic metals.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of basic metals.
16,"This job category encompasses roles and activities related to manufacture of fabricated metal products, except machinery and equipment.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of fabricated metal products, except machinery and equipment."
17,"This job category encompasses roles and activities related to manufacture of computer, electronic and optical products.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of computer, electronic and optical products."
18,This job category encompasses roles and activities related to manufacture of electrical equipment.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of electrical equipment.
19,This job category encompasses roles and activities related to manufacture of machinery and equipment n.e.c..,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of machinery and equipment n.e.c..
20,"This job category encompasses roles and activities related to manufacture of motor vehicles, trailers and semi-trailers.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of motor vehicles, trailers and semi-trailers."
21,This job category encompasses roles and activities related to manufacture of other transport equipment.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of other transport equipment.
